index,frame_id,id,x,y,w,h,tl_x,br_x,tl_y,br_y
0,17,9,440.5885,213.9248,31.03,75.17,425,456,176,251
1,17,11,729.5744,337.3731,36.9799,111.2743,711,748,281,393
2,17,15,368.0603,237.3899,29.635,84.02,353,382,195,279
3,17,19,489.5534,276.7108,34.0856,85.1433,472,506,234,319
0,18,9,433.956,214.7536,31.03,75.17,418,449,177,252
1,18,11,724.1704,335.3436,36.7511,110.7641,705,742,279,390
2,18,15,371.6004,235.8352,29.425,83.72,356,386,193,277
3,18,19,479.7834,275.8246,33.495,85.1087,463,496,233,318
0,19,9,427.7647,215.3707,31.03,75.17,412,443,177,252
1,19,11,718.2405,333.1165,36.4999,110.2047,699,736,278,388
2,19,15,375.0202,234.3446,29.215,83.42,360,389,192,276
3,19,19,470.1113,274.8854,32.9215,85.0525,453,486,232,317
0,20,9,422.2411,215.7211,31.03,75.17,406,437,178,253
1,20,11,712.1021,330.811,36.24,109.6259,693,730,275,385
2,20,15,378.2097,232.9772,29.0074,83.121,363,392,191,274
3,20,19,460.6848,273.8399,32.3903,84.9619,444,476,231,316
0,21,9,417.4158,215.8062,31.03,75.17,401,432,178,253
1,21,11,705.9025,328.4825,35.9776,109.0419,687,723,273,383
2,21,12,736.5319,318.299,25.1364,99.6006,723,749,268,368
3,21,15,381.0707,231.7883,28.8083,82.8253,366,395,190,273
4,21,19,451.7797,272.5971,31.9373,84.8116,435,467,230,315
0,22,9,413.1367,215.7018,31.03,75.1702,397,428,178,253
1,22,11,699.7022,326.154,35.7151,108.4581,681,717,271,380
2,22,12,732.3013,316.806,25.1181,99.3055,719,744,267,366
3,22,15,383.5649,230.8049,28.6304,82.5381,369,397,189,272
4,22,19,443.7819,271.0648,31.5908,84.5797,427,459,228,313
0,23,9,409.2495,215.5093,31.03,75.171,393,424,177,253
1,23,11,693.5017,323.8255,35.4528,107.8741,675,711,269,377
2,23,12,727.1383,314.9843,25.0954,98.9456,714,739,265,364
3,23,15,385.719,230.0227,28.4918,82.2663,371,399,188,271
4,23,19,437.1,269.2082,31.3507,84.266,421,452,227,311
0,24,9,405.7635,215.3173,31.03,75.1732,390,421,177,252
1,24,11,687.3017,321.4968,35.1908,107.2897,669,704,267,375
2,24,12,721.4724,312.9851,25.0706,98.551,708,734,263,362
3,24,15,387.5931,229.4181,28.4069,82.0154,373,401,188,270
4,24,19,431.9975,267.0712,31.189,83.8926,416,447,225,309
0,25,9,402.8503,215.1903,31.03,75.178,387,418,177,252
1,25,11,681.1024,319.1683,34.9292,106.7049,663,698,265,372
2,25,12,715.6075,310.9154,25.045,98.1425,703,728,261,359
3,25,15,389.26,228.9531,28.3758,81.7853,375,403,188,269
4,25,19,428.5358,264.7554,31.0698,83.4875,413,444,223,306
0,26,9,400.6742,215.1682,31.03,75.1861,385,416,177,252
1,26,11,674.9036,316.84,34.6672,106.12,657,692,263,369
2,26,12,709.6846,308.8248,25.0192,97.7297,697,722,259,357
3,26,15,390.796,228.5796,28.3846,81.5702,376,404,187,269
4,26,19,426.6289,262.3763,30.9671,83.07,411,442,220,303
0,27,9,399.2354,215.2511,31.03,75.1973,383,414,177,252
1,27,11,668.7046,314.5117,34.405,105.535,651,685,261,367
2,27,12,703.7615,306.7341,24.9931,97.3166,691,716,258,355
3,27,15,392.2691,228.2518,28.4153,81.3634,378,406,187,268
4,27,19,426.1062,260.0205,30.8687,82.6488,410,441,218,301
0,28,9,398.3384,215.4111,31.03,75.211,382,413,177,253
1,28,11,662.5051,312.183,34.1428,104.95,645,679,259,364
2,28,12,697.8385,304.6436,24.9669,96.9034,685,710,256,353
3,28,15,393.7175,227.9425,28.455,81.16,379,407,187,268
4,28,19,426.6875,257.7261,30.7696,82.2271,411,442,216,298
0,29,9,397.7338,215.6127,31.03,75.226,382,413,177,253
1,29,11,656.3051,309.8541,33.8808,104.365,639,673,257,362
2,29,12,691.9155,302.5533,24.9409,96.4903,679,704,254,350
3,29,15,395.1586,227.6388,28.4971,80.9576,380,409,187,268
4,29,19,428.0048,255.4847,30.6699,81.805,412,443,214,296
0,30,9,397.245,215.831,31.03,75.2419,381,412,178,253
1,30,11,650.1049,307.525,33.6192,103.78,633,666,255,359
2,30,12,685.9927,300.4629,24.9153,96.0775,673,698,252,348
3,30,15,396.5994,227.335,28.5387,80.755,382,410,186,267
4,30,19,429.6928,253.275,30.57,81.3829,414,444,212,293
0,31,9,396.79,216.054,31.03,75.2581,381,412,178,253
1,31,11,643.9049,305.1959,33.3572,103.1951,627,660,253,356
2,31,12,680.07,298.3725,24.89,95.665,667,692,250,346
3,31,15,398.0398,227.0309,28.5796,80.5524,383,412,186,267
4,31,19,431.5275,251.0781,30.4701,80.9612,416,446,210,291
0,32,9,396.335,216.2771,31.03,75.2742,380,411,178,253
1,32,11,637.7054,302.8668,33.095,102.6103,621,654,251,354
2,32,12,674.1473,296.2821,24.8647,95.2525,661,686,248,343
3,32,15,399.48,226.7266,28.6199,80.35,385,413,186,266
4,32,19,433.4049,248.8847,30.3704,80.54,418,448,208,289
0,33,9,395.88,216.5001,31.03,75.29,380,411,178,254
1,33,11,631.5064,300.538,32.8328,102.0259,615,647,249,351
2,33,12,668.2245,294.1918,24.8391,94.8397,655,680,246,341
3,33,15,400.92,226.4222,28.66,80.1475,386,415,186,266
4,33,19,435.2822,246.691,30.2713,80.1188,420,450,206,286
0,34,9,395.425,216.7233,31.03,75.3058,379,410,179,254
1,34,11,625.3076,298.2094,32.5708,101.4419,609,641,247,348
2,34,12,662.3016,292.1017,24.8131,94.4266,649,674,244,339
3,34,15,402.36,226.1177,28.7,79.9447,388,416,186,266
4,34,19,437.1599,244.4969,30.1729,79.6971,422,452,204,284
0,35,9,394.97,216.9469,31.03,75.3219,379,410,179,254
1,35,11,619.1083,295.8811,32.3092,100.8581,602,635,245,346
2,35,12,656.3789,290.0117,24.7869,94.0133,643,668,243,337
3,35,15,403.8,225.8133,28.74,79.7416,389,418,185,265
4,35,19,439.0378,242.3025,30.075,79.275,424,454,202,281
0,36,9,394.515,217.171,31.03,75.3381,379,410,179,254
1,36,11,612.9083,293.5529,32.0472,100.2741,596,628,243,343
2,36,12,650.4567,287.9216,24.7608,93.6,638,662,241,334
3,36,15,405.24,225.5092,28.78,79.5384,390,419,185,265
4,36,19,440.9161,240.1081,29.9771,78.8529,425,455,200,279
0,37,9,394.0599,217.3952,31.03,75.3542,378,409,179,255
1,37,11,606.7078,291.2248,31.785,99.6897,590,622,241,341
2,37,12,644.5354,285.8313,24.735,93.1867,632,656,239,332
3,37,15,406.6678,225.2077,28.8194,79.3386,392,421,185,264
4,37,19,442.7944,237.914,29.8787,78.4312,427,457,198,277
0,38,9,393.6047,217.6191,31.03,75.37,378,409,179,255
1,38,11,600.5077,288.8966,31.5228,99.1049,584,616,239,338
2,38,12,638.6146,283.7409,24.7092,92.7734,626,650,237,330
3,38,15,408.0535,224.9149,28.8569,79.1501,393,422,185,264
4,38,19,444.6723,235.7203,29.7796,78.01,429,459,196,274
0,39,9,393.1491,217.8426,31.03,75.3858,377,408,180,255
1,39,11,594.3083,286.568,31.2608,98.52,578,609,237,335
2,39,12,632.6937,281.6502,24.6831,92.3603,620,645,235,327
3,39,15,409.3333,224.6441,28.8895,78.9899,394,423,185,264
4,39,19,446.5496,233.5269,29.6799,77.5888,431,461,194,272
0,40,9,392.6931,218.0659,31.03,75.4019,377,408,180,255
1,40,11,588.1096,284.2391,30.9992,97.935,572,603,235,333
2,40,12,626.7722,279.5596,24.6569,91.9475,614,639,233,325
3,40,13,752.2649,338.4558,27.0292,115.969,738,765,280,396
4,40,15,410.4166,224.4142,28.9132,78.8817,395,424,184,263
5,40,19,448.4161,231.3313,29.5793,77.1653,433,463,192,269
0,41,9,392.2369,218.289,31.03,75.4181,376,407,180,255
1,41,11,581.9108,281.91,30.7372,97.35,566,597,233,330
2,41,12,620.85,277.4694,24.6308,91.535,608,633,231,323
3,41,13,748.8308,336.7017,29.6356,116.1497,734,763,278,394
4,41,15,411.2324,224.2394,28.9248,78.8438,396,425,184,263
5,41,19,450.2464,229.1277,29.4764,76.7349,435,464,190,267
0,42,9,391.7842,218.5099,31.03,75.4343,376,407,180,256
1,42,11,575.7113,279.5809,30.4749,96.765,560,590,231,327
2,42,12,614.9353,275.3827,24.6051,91.1226,602,627,229,320
3,42,13,744.1912,334.3838,31.9403,116.2487,728,760,276,392
4,42,15,411.7806,224.1197,28.9241,78.8765,397,426,184,263
5,42,19,451.986,226.9043,29.3677,76.2883,437,466,188,265
0,43,9,391.3429,218.7233,31.03,75.4512,375,406,180,256
1,43,11,569.5112,277.252,30.2124,96.18,554,584,229,325
2,43,12,609.0473,273.3072,24.5797,90.7102,596,621,227,318
3,43,13,738.6093,331.6462,33.5116,116.2241,721,755,273,389
4,43,15,412.132,224.0403,28.914,78.9609,397,426,184,263
5,43,19,453.511,224.652,29.2487,75.8121,438,468,186,262
0,44,9,390.9299,218.9182,31.03,75.4699,375,406,181,256
1,44,11,563.3183,274.9284,29.9517,95.5956,548,578,227,322
2,44,12,603.2272,271.2605,24.5549,90.2984,590,615,226,316
3,44,13,732.44,328.6579,34.3736,116.092,715,749,270,386
4,44,15,412.3769,223.9829,28.8986,79.0732,397,426,184,263
5,44,19,454.6473,222.3758,29.1156,75.2954,440,469,184,260
0,45,9,390.5688,219.0789,31.03,75.4926,375,406,181,256
1,45,11,557.1502,272.6225,29.6966,95.0131,542,571,225,320
2,45,12,597.5333,269.2674,24.5316,89.888,585,609,224,314
3,45,13,725.9841,325.5511,34.8034,115.8971,708,743,267,383
4,45,15,412.5791,223.9346,28.8808,79.1967,398,427,184,263
5,45,19,455.1506,220.1132,28.9687,74.7378,440,469,182,257
0,46,9,390.2782,219.1929,31.03,75.5207,374,405,181,256
1,46,11,551.0442,270.3603,29.456,94.4355,536,565,223,317
2,46,12,592.0112,267.3477,24.5105,89.4797,579,604,222,312
3,46,13,719.4285,322.4051,35.0388,115.675,701,736,264,380
4,46,15,412.7685,223.8896,28.8628,79.3234,398,427,184,263
5,46,19,454.7355,217.9304,28.8117,74.1498,440,469,180,255
0,47,9,390.0579,219.2602,31.03,75.5541,374,405,181,257
1,47,11,545.0648,268.1859,29.2422,93.8667,530,559,221,315
2,47,12,586.6611,265.5015,24.4918,89.0735,574,598,220,310
3,47,13,712.8399,319.2675,35.2061,115.4362,695,730,261,376
4,47,15,412.9575,223.8452,28.845,79.4503,398,427,184,263
5,47,19,453.1844,215.8967,28.6491,73.5516,438,467,179,252
0,48,9,389.889,219.293,31.03,75.5912,374,405,181,257
1,48,11,539.2836,266.146,29.0653,93.3097,524,553,219,312
2,48,12,581.4378,263.709,24.4747,88.669,569,593,219,308
3,48,13,706.2391,316.1984,35.3349,115.1671,688,723,258,373
4,48,15,413.1464,223.8009,28.8271,79.5775,398,427,184,263
5,48,19,450.495,214.0505,28.4835,72.9679,436,464,177,250
0,49,9,389.7479,219.3069,31.03,75.6302,374,405,181,257
1,49,11,533.7661,264.2785,28.925,92.7645,519,548,217,310
2,49,12,576.2832,261.9457,24.4581,88.2654,564,588,217,306
3,49,13,699.6092,313.3022,35.3677,114.8215,681,717,255,370
4,49,15,413.3357,223.7562,28.8088,79.705,398,427,183,263
5,49,19,446.8412,212.4123,28.315,72.4347,432,460,176,248
0,50,9,389.6175,219.3131,31.03,75.67,374,405,181,257
1,50,11,528.5645,262.6085,28.8113,92.2278,514,542,216,308
2,50,12,571.1561,260.1937,24.4416,87.8625,558,583,216,304
3,50,13,692.9259,310.7262,35.2233,114.3341,675,710,253,367
4,50,15,413.5254,223.7108,28.79,79.8325,399,427,183,263
5,50,19,442.4049,211.0116,28.1424,71.9984,428,456,175,247
0,51,9,389.49,219.3169,31.03,75.71,373,405,181,257
1,51,11,523.6997,261.1411,28.7116,91.6955,509,538,215,306
2,51,12,566.0372,258.445,24.425,87.46,553,578,214,302
3,51,13,686.1884,308.5679,34.8448,113.6572,668,703,251,365
4,51,15,413.7157,223.6647,28.7712,79.9597,399,428,183,263
5,51,19,437.294,209.8742,27.9643,71.6942,423,451,174,245
0,52,9,389.3625,219.3209,31.03,75.75,373,404,181,257
1,52,11,519.1353,259.8503,28.6174,91.165,504,533,214,305
2,52,12,560.9179,256.6963,24.4084,87.0575,548,573,213,300
3,52,13,679.4414,306.784,34.25,112.8005,662,696,250,363
4,52,15,413.9064,223.6184,28.7529,80.0866,399,428,183,263
5,52,19,431.6221,208.9828,27.7809,71.5224,417,445,173,244
0,53,9,389.2353,219.3253,31.03,75.79,373,404,181,257
1,53,11,514.7811,258.681,28.525,90.635,500,529,213,303
2,53,12,555.7981,254.9477,24.392,86.6547,543,567,211,298
3,53,13,672.7999,305.167,33.5415,111.8361,656,689,249,361
4,53,15,414.0975,223.5721,28.735,80.2133,399,428,183,263
5,53,19,425.586,208.2604,27.5938,71.4448,411,439,172,243
0,54,9,389.1084,219.33,31.03,75.83,373,404,181,257
1,54,11,510.5365,257.5744,28.4326,90.105,496,524,212,302
2,54,12,550.6779,253.1992,24.3758,86.2516,538,562,210,296
3,54,13,666.4233,303.4394,32.8557,110.8593,649,682,248,358
4,54,15,414.2886,223.5263,28.7172,80.34,399,428,183,263
5,54,19,419.3442,207.6202,27.4047,71.4087,405,433,171,243
0,55,9,388.9817,219.3347,31.03,75.8701,373,404,181,257
1,55,11,506.335,256.4925,28.3401,89.575,492,520,211,301
2,55,12,545.5579,251.4508,24.36,85.8483,533,557,208,294
3,55,13,660.4347,301.3951,32.2937,109.9399,644,676,246,356
4,55,15,414.4796,223.4812,28.6992,80.4667,400,428,183,263
5,55,19,412.9711,206.9954,27.2146,71.3661,399,426,171,242
0,56,9,388.855,219.3393,31.03,75.9104,373,404,181,257
1,56,11,502.1671,255.4102,28.2478,89.045,488,516,210,299
2,56,12,540.4383,249.7025,24.3442,85.445,528,552,206,292
3,56,13,654.842,298.9854,31.8825,109.0994,638,670,244,353
4,56,15,414.6704,223.4367,28.6808,80.5934,400,429,183,263
5,56,19,406.396,206.3635,27.0237,71.279,392,419,170,242
0,57,9,388.7283,219.3437,31.03,75.9513,373,404,181,257
1,57,11,498.0712,254.3018,28.1558,88.515,483,512,210,298
2,57,12,535.3522,247.9577,24.328,85.0417,523,547,205,290
3,57,13,649.5423,296.2925,31.5903,108.3235,633,665,242,350
4,57,15,414.8614,223.3923,28.6628,80.7203,400,429,183,263
5,57,19,399.4276,205.7508,26.8321,71.1238,386,412,170,241
0,58,9,388.6017,219.3483,31.03,75.9929,373,404,181,257
1,58,11,494.1559,253.1275,28.0642,87.985,480,508,209,297
2,58,12,530.3799,246.2249,24.3116,84.6383,518,542,203,288
3,58,13,644.4234,293.4484,31.3623,107.5823,628,660,239,347
4,58,15,415.0525,223.3475,28.645,80.8475,400,429,182,263
5,58,19,391.9286,205.2162,26.64,70.9012,378,405,169,240
0,59,9,388.475,219.3534,31.03,76.035,372,403,181,257
1,59,11,490.5597,251.8302,27.9722,87.455,476,504,208,295
2,59,12,525.6802,244.5224,24.295,84.235,513,537,202,286
3,59,13,639.4449,290.5498,31.1597,106.855,623,655,237,343
4,59,15,415.2436,223.3021,28.6271,80.975,400,429,182,263
5,59,19,384.0266,204.7982,26.4479,70.6297,370,397,169,240
0,60,9,388.3483,219.3589,31.03,76.0771,372,403,181,257
1,60,11,487.3662,250.3651,27.8799,86.925,473,501,206,293
2,60,12,521.4635,242.876,24.2784,83.8317,509,533,200,284
3,60,13,634.6816,287.6493,30.9641,106.1316,619,650,234,340
4,60,15,415.4344,223.2561,28.6088,81.1025,401,429,182,263
5,60,19,376.0665,204.4863,26.2563,70.3324,362,389,169,239
0,61,9,388.2216,219.3644,31.03,76.1187,372,403,181,257
1,61,11,484.4953,248.7321,27.7874,86.395,470,498,205,291
2,61,12,517.8476,241.3056,24.262,83.4283,505,529,199,283
3,61,13,630.2834,284.7772,30.7681,105.408,614,645,232,337
4,61,15,415.625,223.2099,28.59,81.2297,401,429,182,263
5,61,19,368.3379,204.2401,26.0654,70.0251,355,381,169,239
0,62,9,388.0947,219.3694,31.03,76.1596,372,403,181,257
1,62,11,481.7122,246.9756,27.695,85.865,467,495,204,289
2,62,12,514.7265,239.8111,24.2458,83.025,502,526,198,281
3,62,13,626.3828,281.9434,30.5719,104.6842,611,641,229,334
4,62,15,415.8156,223.1637,28.5712,81.3566,401,430,182,263
5,62,19,360.9014,204.0225,25.8751,69.715,347,373,169,238
0,63,9,387.9675,219.374,31.03,76.1999,372,403,181,257
1,63,11,478.7732,245.1522,27.6026,85.335,464,492,202,287
2,63,12,511.824,238.372,24.23,82.6217,499,523,197,279
3,63,13,622.9799,279.1476,30.3759,103.96,607,638,227,331
4,63,15,416.0064,223.118,28.5529,81.4834,401,430,182,263
5,63,19,353.6612,203.8183,25.6856,69.4067,340,366,169,238
0,64,9,387.84,219.3781,31.03,76.24,372,403,181,257
1,64,11,475.5688,243.3022,27.5101,84.805,461,489,200,285
2,64,12,508.8947,236.9627,24.2142,82.2183,496,521,195,278
3,64,13,619.9428,276.3799,30.1803,103.2358,604,635,224,327
4,64,15,416.1975,223.073,28.535,81.6103,401,430,182,263
5,64,19,346.5309,203.6249,25.4982,69.104,333,359,169,238
0,65,9,387.7125,219.3819,31.03,76.28,372,403,181,257
1,65,11,472.1661,241.4441,27.4178,84.275,458,485,199,283
2,65,12,505.8784,235.5649,24.198,81.815,493,517,194,276
3,65,13,617.112,273.6314,29.9849,102.5131,602,632,222,324
4,65,15,416.3886,223.0288,28.5172,81.7375,402,430,182,263
5,65,19,339.4658,203.4594,25.3159,68.8159,326,352,169,237
0,66,9,387.5853,219.3859,31.03,76.32,372,403,181,257
1,66,11,468.7279,239.5858,27.3258,83.745,455,482,197,281
2,66,12,502.8732,234.1695,24.1816,81.4117,490,514,193,274
3,66,13,614.3917,270.9017,29.789,101.7944,599,629,220,321
4,66,15,416.5796,222.9846,28.4992,81.865,402,430,182,263
5,66,19,332.47,203.3456,25.1429,68.5544,319,345,169,237
0,67,9,387.4584,219.3903,31.03,76.36,371,402,181,257
1,67,11,465.485,237.7275,27.2342,83.215,451,479,196,279
2,67,12,500.0769,232.7706,24.165,81.0084,487,512,192,273
3,67,13,611.7766,268.2055,29.5918,101.0854,596,626,217,318
4,67,15,416.7704,222.94,28.4808,81.9925,402,431,181,263
5,67,19,325.5688,203.3023,24.9826,68.3294,313,338,169,237
0,68,9,387.3317,219.395,31.03,76.4,371,402,181,257
1,68,11,462.6866,235.8692,27.1422,82.685,449,476,194,277
2,68,12,497.7446,231.3644,24.1484,80.6053,485,509,191,271
3,68,13,609.3152,265.5683,29.392,100.3943,594,624,215,315
4,68,15,416.9614,222.8944,28.4628,82.1197,402,431,181,263
5,68,19,318.7622,203.329,24.8346,68.1409,306,331,169,237
0,69,9,387.2077,219.3986,31.0296,76.44,371,402,181,257
1,69,11,460.5143,234.0109,27.0499,82.155,446,474,192,275
2,69,12,496.0638,229.9479,24.132,80.2025,483,508,189,270
3,69,13,607.0628,263.0117,29.1889,99.7277,592,621,213,312
4,69,15,417.1525,222.8482,28.445,82.2466,402,431,181,263
5,69,19,312.0249,203.4069,24.6953,67.979,299,324,169,237
0,70,9,387.0934,219.3983,31.028,76.48,371,402,181,257
1,70,11,458.9679,232.1528,26.9574,81.625,445,472,191,272
2,70,12,495.0347,228.5209,24.1158,79.8,482,507,188,268
3,70,13,605.0195,260.5358,28.9828,99.0854,590,619,210,310
4,70,15,417.3435,222.8018,28.4272,82.3733,403,431,181,263
5,70,19,305.3253,203.5119,24.5606,67.8317,293,317,169,237
0,71,9,387.0031,219.3885,31.0232,76.5201,371,402,181,257
1,71,11,457.8808,230.295,26.865,81.095,444,471,189,270
2,71,12,494.4692,227.0792,24.0999,79.3975,482,506,187,266
3,71,13,603.1298,258.1192,28.7744,98.461,588,617,208,307
4,71,15,417.5341,222.7554,28.4092,82.5,403,431,181,264
5,71,19,298.7038,203.6368,24.4296,67.695,286,310,169,237
0,72,9,386.9574,219.3617,31.0126,76.5604,371,402,181,257
1,72,11,457.061,228.4379,26.7719,80.5663,443,470,188,268
2,72,12,494.1099,225.6097,24.0838,78.9947,482,506,186,265
3,72,13,601.3233,255.7345,28.5649,97.8461,587,615,206,304
4,72,15,417.7241,222.7096,28.3908,82.6267,403,431,181,264
5,72,19,292.3032,203.7973,24.3059,67.5771,280,304,170,237
0,73,9,386.9726,219.3121,30.9942,76.6013,371,402,181,257
1,73,11,456.4062,226.5825,26.6765,80.0419,443,469,186,266
2,73,12,493.7224,224.0792,24.0672,78.5916,481,505,184,263
3,73,13,599.5504,253.3625,28.3551,97.235,585,613,204,301
4,73,15,417.9135,222.6646,28.3728,82.7534,403,432,181,264
5,73,19,286.4486,204.0412,24.1981,67.5027,274,298,170,237
0,74,9,387.0484,219.2399,30.9678,76.6429,371,402,180,257
1,74,11,455.9496,224.7308,26.5756,79.5286,442,469,184,264
2,74,12,493.1233,222.4385,24.0503,78.1883,481,505,183,261
3,74,13,597.7877,250.9942,28.1454,96.625,583,611,202,299
4,74,15,418.1025,222.6202,28.355,82.8803,403,432,181,264
5,74,19,281.6055,204.4399,24.1192,67.5087,269,293,170,238
0,75,9,387.1683,219.1508,30.9354,76.685,371,402,180,257
1,75,11,455.8075,222.8864,26.4649,79.0357,442,469,183,262
2,75,12,492.2232,220.6574,24.0337,77.7852,480,504,181,259
3,75,13,596.0253,248.6258,27.9363,96.015,582,609,200,296
4,75,15,418.2893,222.5765,28.3365,83.0059,404,432,181,264
5,75,19,278.1396,205.0492,24.0791,67.6246,266,290,171,238
0,76,9,387.3118,219.0522,30.8996,76.7271,371,402,180,257
1,76,11,456.0935,221.0523,26.3407,78.5707,442,469,181,260
2,76,12,491.0881,218.7575,24.0178,77.3827,479,503,180,257
3,76,13,594.2626,246.2575,27.7279,95.405,580,608,198,293
4,76,15,418.4692,222.5348,28.3149,83.1261,404,432,180,264
5,76,19,276.0783,205.8686,24.0777,67.8504,264,288,171,239
0,77,9,387.4644,218.9494,30.8625,76.7688,372,402,180,257
1,77,11,456.8074,219.2285,26.2028,78.1336,443,469,180,258
2,77,12,489.947,216.824,24.002,76.9821,477,501,178,255
3,77,13,592.4996,243.8892,27.52,94.795,578,606,196,291
4,77,15,418.6309,222.4983,28.2863,83.2322,404,432,180,264
5,77,19,275.1215,206.8419,24.1046,68.1571,263,287,172,240
0,78,9,387.6196,218.8453,30.8253,76.81,372,403,180,257
1,78,11,457.8354,217.4121,26.0547,77.7169,444,470,178,256
2,78,12,489.111,214.9717,23.9854,76.5847,477,501,176,253
3,78,13,590.736,241.5208,27.3121,94.185,577,604,194,288
4,78,15,418.7587,222.4723,28.2455,83.312,404,432,180,264
5,78,19,274.9453,207.8982,24.1468,68.5072,262,287,173,242
0,79,9,387.7752,218.7415,30.7884,76.8512,372,403,180,257
1,79,11,459.0328,215.5991,25.901,77.3112,446,471,176,254
2,79,12,488.8157,213.2872,23.967,76.1919,476,500,175,251
3,79,13,588.9719,239.1525,27.1037,93.575,575,602,192,285
4,79,15,418.8399,222.4615,28.1881,83.3563,404,432,180,264
5,79,19,275.4204,208.9874,24.195,68.8742,263,287,174,243
0,80,9,387.9312,218.6383,30.7517,76.8929,372,403,180,257
1,80,11,460.2975,213.7869,25.745,76.9096,447,473,175,252
2,80,12,489.0975,211.7869,23.9465,75.8036,477,501,173,249
3,80,13,587.2073,236.7841,26.8946,92.965,573,600,190,283
4,80,15,418.8743,222.4663,28.114,83.3654,404,432,180,264
5,80,19,276.5512,210.0864,24.2449,69.2458,264,288,175,244
0,81,9,388.0876,218.5356,30.715,76.935,372,403,180,257
1,81,11,461.5818,211.9744,25.5884,76.5087,448,474,173,250
2,81,12,489.8143,210.4271,23.9245,75.4186,477,501,172,248
3,81,13,585.4619,234.4158,26.6856,92.3551,572,598,188,280
4,81,15,418.8743,222.4827,28.0278,83.3485,404,432,180,264
5,81,19,278.2926,211.1894,24.2946,69.6178,266,290,176,245
0,82,9,388.2442,218.4327,30.6783,76.9771,372,403,179,256
1,82,11,462.8787,210.1649,25.432,76.1071,450,475,172,248
2,82,12,490.7654,209.1432,23.9016,75.0353,478,502,171,246
3,82,13,583.7831,232.0484,26.4787,91.7455,570,597,186,277
4,82,15,418.8558,222.5052,27.9352,83.3172,404,432,180,264
